MONTERREY,AEROMEXICO,AM 926,12:25,A TIEMPO,S/D
P.ESCONDIDO,AEROMEXICO,AM 2544,12:25,A TIEMPO,S/D
HUATULCO,AEROMEXICO,AM 394,12:25,A TIEMPO,S/D
CANCUN,VIVA,VB 1020,12:30,A TIEMPO,B
L.ANGELES,AEROMEXICO,AM 642,12:30,A TIEMPO,S/D
MONTERREY,VIVA,VB 1124,12:35,A TIEMPO,B
CULIACAN,AEROMEXICO,AM 162,12:35,A TIEMPO,S/D
CANCUN,VOLARIS,Y4 862,12:40,A TIEMPO,G
S. ANTONIO,AEROMEXICO,AM 634,12:40,A TIEMPO,S/D
CANCUN,AEROMEXICO,AM 526,12:40,A TIEMPO,S/D
CHARLOTTE,AMERICAN AIRLINES,AA 828,12:45,A TIEMPO,J
HOUSTON IA,AEROMEXICO,AM 470,12:45,A TIEMPO,S/D
MERIDA YUC,AEROMEXICO,AM 828,12:50,A TIEMPO,S/D
GUADALAJARA,AEROMEXICO,AM 228,12:50,A TIEMPO,S/D
CANCUN,VIVA,VB 1034,12:55,A TIEMPO,B
ZIHUATANEJO,VOLARIS,Y4 808,12:55,A TIEMPO,G
SAN JOSE CR,LACSA,LR 633,12:55,A TIEMPO,J
ORLANDO,AEROMEXICO,AM 436,12:55,A TIEMPO,S/D
VERACRUZ,AEROMEXICO,AM 864,12:55,A TIEMPO,S/D
LOS MOCHIS,AEROMEXICO,AM 2132,13:00,A TIEMPO,S/D
NEWARK,UNITED,UA 2252,13:00,A TIEMPO,J
PANAMA,COPA AIRLINES,CM 121,13:05,A TIEMPO,S/D
DETROIT,DELTA,DL 645,13:05,A TIEMPO,S/D
DALLAS,AMERICAN AIRLINES,AA 394,13:10,A TIEMPO,J
ACAPULCO,AEROMEXICO,AM 304,13:15,A TIEMPO,S/D
TIJUANA,VOLARIS,Y4 876,13:15,A TIEMPO,G
HUATULCO,VIVA,VB 1092,13:20,A TIEMPO,B
MERIDA YUC,VIVA,VB 1104,13:20,A TIEMPO,B
CAMPECHE,AEROMEXICO,AM 2440,13:20,A TIEMPO,S/D
TUXTLA,AEROMEXICO,AM 316,13:20,A TIEMPO,S/D
ATLANTA G,DELTA,DL 587,13:20,A TIEMPO,S/D
